Category,Name,Type,Description,Display Name,Unit
Crs_Interior_Comfort,ReportTime,double,Report time, Time,
Crs_Interior_Comfort,Type,int,Crs Code,Crs identification code,
Crs_Interior_Comfort,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Comfort,Situation,string,Situation,Situation description,
Crs_Interior_Comfort,Info,string,Info,Additional information,
Crs_Interior_Grounding,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Grounding,ReportTime,double,Report time, Time,
Crs_Interior_Grounding,Type,int,Crs Code,Crs identification code,
Crs_Interior_Grounding,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Grounding,Situation,string,Situation,Situation description,
Crs_Interior_Grounding,Info,string,Info,Additional information,
Crs_Interior_DayTime,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_DayTime,ReportTime,double,Report time, Time,
Crs_Interior_DayTime,Type,int,Crs Code,Crs identification code,
Crs_Interior_DayTime,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_DayTime,Situation,string,Situation,Situation description,
Crs_Interior_DayTime,Info,string,Info,Additional information,
Crs_Interior_NightTime,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_NightTime,ReportTime,double,Report time, Time,
Crs_Interior_NightTime,Type,int,Crs Code,Crs identification code,
Crs_Interior_NightTime,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_NightTime,Situation,string,Situation,Situation description,
Crs_Interior_NightTime,Info,string,Info,Additional information,
Crs_Interior_Headon,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Headon,ReportTime,double,Report time, Time,
Crs_Interior_Headon,Type,int,Crs Code,Crs identification code,
Crs_Interior_Headon,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Headon,Situation,string,Situation,Situation description,
Crs_Interior_Headon,Info,string,Info,Additional information,
Crs_Interior_Berthing,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Berthing,ReportTime,double,Report time, Time,
Crs_Interior_Berthing,Type,int,Crs Code,Crs identification code,
Crs_Interior_Berthing,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Berthing,Situation,string,Situation,Situation description,
Crs_Interior_Berthing,Info,string,Info,Additional information,
Crs_Interior_Overtaking,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Overtaking,ReportTime,double,Report time, Time,
Crs_Interior_Overtaking,Type,int,Crs Code,Crs identification code,
Crs_Interior_Overtaking,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Overtaking,Situation,string,Situation,Situation description,
Crs_Interior_Overtaking,Info,string,Info,Additional information,
Crs_Interior_GiveWay,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_GiveWay,ReportTime,double,Report time, Time,
Crs_Interior_GiveWay,Type,int,Crs Code,Crs identification code,
Crs_Interior_GiveWay,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_GiveWay,Situation,string,Situation,Situation description,
Crs_Interior_GiveWay,Info,string,Info,Additional information,
Crs_Interior_Speed,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Speed,ReportTime,double,Report time, Time,
Crs_Interior_Speed,Type,int,Crs Code,Crs identification code,
Crs_Interior_Speed,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Speed,Situation,string,Situation,Situation description,
Crs_Interior_Speed,Info,string,Info,Additional information,
Crs_Interior_Signal,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Signal,ReportTime,double,Report time, Time,
Crs_Interior_Signal,Type,int,Crs Code,Crs identification code,
Crs_Interior_Signal,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Signal,Situation,string,Situation,Situation description,
Crs_Interior_Signal,Info,string,Info,Additional information,
Crs_Interior_Discipline,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Discipline,ReportTime,double,Report time, Time,
Crs_Interior_Discipline,Type,int,Crs Code,Crs identification code,
Crs_Interior_Discipline,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Discipline,Situation,string,Situation,Situation description,
Crs_Interior_Discipline,Info,string,Info,Additional information,
Crs_Interior_Collision,CaseId,int,Scenario Key, Scenario hash key,
Crs_Interior_Collision,ReportTime,double,Report time, Time,
Crs_Interior_Collision,Type,int,Crs Code,Crs identification code,
Crs_Interior_Collision,Penalty,float,Penalty Score,Penalty Score,
Crs_Interior_Collision,Situation,string,Situation,Situation description,
Crs_Interior_Collision,Info,string,Info,Additional information,
Crossing,CaseId,int,Scenario Key, Scenario hash key,
Crossing,OwnShip,int,OwnShip,Own Ship
Crossing,TargetShip,int,TargetShip,Target Ship
Crossing,StartTime,double,Reading start time,Reading start time,time 
Crossing,EndTime,double,Reading end time,Reading end time,time 
GiveWay,CaseId,int,Scenario Key, Scenario hash key,
GiveWay,OwnShip,int,OwnShip,Own Ship
GiveWay,TargetShip,int,TargetShip,Target Ship
GiveWay,StartTime,double,Reading start time,Reading start time,time 
GiveWay,EndTime,double,Reading end time,Reading end time,time 
HeadOn,CaseId,int,Scenario Key, Scenario hash key,
HeadOn,OwnShip,int,OwnShip,Own Ship
HeadOn,TargetShip,int,TargetShip,Target Ship
HeadOn,StartTime,double,Reading start time,Reading start time,time 
HeadOn,EndTime,double,Reading end time,Reading end time,time 
Overtaking,CaseId,int,Scenario Key, Scenario hash key,
Overtaking,OwnShip,int,OwnShip,Own Ship
Overtaking,TargetShip,int,TargetShip,Target Ship
Overtaking,StartTime,double,Reading start time,Reading start time,time 
Overtaking,EndTime,double,Reading end time,Reading end time,time 
StandOn,CaseId,int,Scenario Key, Scenario hash key,
StandOn,OwnShip,int,OwnShip,Own Ship
StandOn,TargetShip,int,TargetShip,Target Ship
StandOn,StartTime,double,Reading start time,Reading start time,time 
StandOn,EndTime,double,Reading end time,Reading end time,time 
Traffic,CaseId,int,Scenario Key, Scenario hash key,
Traffic,OwnShip,int,OwnShip,Own Ship
Traffic,TargetShip,int,TargetShip,Target Ship
Traffic,StartTime,double,Reading start time,Reading start time,time 
Traffic,EndTime,double,Reading end time,Reading end time,time 
Collision,CaseId,int,Scenario Key, Scenario hash key,
Collision,OwnShip,int,OwnShip,Own Ship
Collision,TargetShip,int,TargetShip,Target Ship
Collision,ReportTime,double,Report time,Time,
Collision,Distance,double,Distance,Distance,
Approach,CaseId,int,Scenario Key, Scenario hash key,
Approach,OwnShip,int,OwnShip,Own Ship
Approach,TargetShip,int,TargetShip,Target Ship
Approach,ReportTime,double,Report time,Time,
Approach,Distance,double,Distance,Distance,
Concern,CaseId,int,Scenario Key, Scenario hash key,
Concern,ReportTime,double,Report time, Time,
Concern,VesselId,int,Vessel IMO,Vessel IMO,
Concern,Examiner,string,Examiner that raised the finding,Examiner,
Concern,Event,string,Violation identifier,Event,
Concern,Zone,string,Zone the violation occurred in,Zone,
Concern,Penalty,float,Penalty score from the scorecard,Penalty,
Concern,Value,float,Quantity behind the violation,Value,
RiskAssessment,CaseId,int,Scenario Key, Scenario hash key,
RiskAssessment,ReportTime,double,Report time, Time,
RiskAssessment,OwnShip,int,Vessel IMO,Vessel IMO,
RiskAssessment,Zone,string,Spatial zone the vessel was in,Zone,
RiskAssessment,PCollision,float,Probability of collision,P(collision),
RiskAssessment,PGrounding,float,Probability of grounding,P(grounding),
RiskAssessment,PCommsLoss,float,Probability of losing the AUV link,P(comms loss),
RiskAssessment,PAnyHazard,float,Exact joint probability that any hazard occurs,P(any hazard),
RiskAssessment,PSumHazard,float,Sum of the marginals - an upper bound kept for comparison,Sum of marginals,
RiskAssessment,Cost,float,Instantaneous expected loss summed over Rl,Expected Loss,
RiskAssessment,Increment,float,Survival-weighted amount added to the voyage total,Increment,
RiskAssessment,Survival,float,Probability of reaching this point without a hazardous event,Survival,
RiskAssessment,Cumulative,float,Cumulative expected loss for the voyage,Cumulative Loss,
Rl,CaseId,int,Scenario Key, Scenario hash key,
Rl,ReportTime,double,Report time, Time,
Rl,OwnShip,int,Vessel IMO,Vessel IMO,
Rl,Matrix,string,Rl serialized as a MATLAB literal - rows are spatial zones and columns are concerns in the order logged at startup - all values USD,Rl,USD
